t,U
0.00001,-1.61036959
0.00002,-0.00102845
0.00003,0.57057868
0.00004,-1.08434576
0.00005,-1.52397953
0.00006,0.16600388
0.00007,0.47086848
0.00008,-1.24342662
0.00009,-1.41158329
0.00010,0.31612161
0.00011,0.34650097
0.00012,-1.38362655
0.00013,-1.27603541
0.00014,0.44551216
0.00015,0.20063474
0.00016,-1.50138488
0.00017,-1.12077844
0.00018,0.55088939
0.00019,0.03697437
0.00020,-1.59371087
0.00021,-0.94975546
0.00022,0.62957700
0.00023,-0.14032362
0.00024,-1.65825970
0.00025,-0.76730996
0.00026,0.67957656
0.00027,-0.32675638
0.00028,-1.69339202
0.00029,-0.57807555
0.00030,0.69961823
0.00031,-0.51758903
0.00032,-1.69821557
0.00033,-0.38685825
0.00034,0.68919299
0.00035,-0.70797497
0.00036,-1.67260785
0.00037,-0.19851442
0.00038,0.64856562
0.00039,-0.89307893
0.00040,-1.61721920
0.00041,-0.01782747
0.00042,0.57876794
0.00043,-1.06819981
0.00044,-1.53345636
0.00045,0.15061367
0.00046,0.48157262
0.00047,-1.22889002
0.00048,-1.42344666
0.00049,0.30253106
0.00050,0.35944814
0.00051,-1.37106849
0.00052,-1.28998403
0.00053,0.43406644
0.00054,0.21549611
0.00055,-1.49112429
0.00056,-1.13645805
0.00057,0.54187918
0.00058,0.05337250
0.00059,-1.58600835
0.00060,-0.96676784
0.00061,0.62323115
0.00062,-0.12280519
0.00063,-1.65331087
0.00064,-0.78522305
0.00065,0.67605623
0.00066,-0.30856256
0.00067,-1.69132257
0.00068,-0.59643440
0.00069,0.69901281
0.00070,-0.49918190
0.00071,-1.69907805
0.00072,-0.40519659
0.00073,0.69151787
0.00074,-0.68982202
0.00075,-1.67638035
0.00076,-0.21636652
0.00077,0.65376176
0.00078,-0.87564120
0.00079,-1.62380593
0.00080,-0.03473994
0.00081,0.58670337
0.00082,-1.05192015
0.00083,-1.54269002
0.00084,0.13507036
0.00085,0.49204579
0.00086,-1.21418190
0.00087,-1.43509275
0.00088,0.28875167
0.00089,0.37219307
0.00090,-1.35830546
0.00091,-1.30374677
0.00092,0.42240093
0.00093,0.23018911
0.00094,-1.48063049
0.00095,-1.15198790
0.00096,0.53262382
0.00097,0.06964043
0.00098,-1.57805028
0.00099,-0.98367038
0.00100,0.61662099
0.00101,-0.10537551
0.00102,-1.64809066
0.00103,-0.80306902
0.00104,0.67225916
0.00105,-0.29041379
0.00106,-1.68897279
0.00107,-0.61477055
0.00108,0.69812526
0.00109,-0.48077497
0.00110,-1.69965838
0.00111,-0.42355724
0.00112,0.69356239
0.00113,-0.67162441
0.00114,-1.67987605
0.00115,-0.23428537
0.00116,0.65868641
0.00117,-0.85811507
0.00118,-1.63012822
0.00119,-0.05176188
0.00120,0.59438309
0.00121,-1.03551063
0.00122,-1.55167833
0.00123,0.11937762
0.00124,0.50228553
0.00125,-1.19930574
0.00126,-1.44651880
0.00127,0.27478669
0.00128,0.38473277
0.00129,-1.34534046
0.00130,-1.31732037
0.00131,0.41051837
0.00132,0.24471031
0.00133,-1.46990594
0.00134,-1.16736433
0.00135,0.52312547
0.00136,0.08577431
0.00137,-1.56983855
0.00138,-1.00045912
0.00139,0.60974809
0.00140,-0.08803869
0.00141,-1.64260030
0.00142,-0.82084367
0.00143,0.66818625
0.00144,-0.27231434
0.00145,-1.68634324
0.00146,-0.63307970
0.00147,0.69695579
0.00148,-0.46237256
0.00149,-1.69995642
0.00150,-0.44193589
0.00151,0.69532605
0.00152,-0.65338641
0.00153,-1.68309412
0.00154,-0.25226673
0.00155,0.66333842
0.00156,-0.84050468
0.00157,-1.63618458
0.00158,-0.06888930
0.00159,0.60180529
0.00160,-1.01897510
0.00161,-1.56041918
0.00162,0.10353914
0.00163,0.51228943
0.00164,-1.18426502
0.00165,-1.45772213
0.00166,0.26063939
0.00167,0.39706429
0.00168,-1.33217655
0.00169,-1.33070166
0.00170,0.39842157
0.00171,0.25905626
0.00172,-1.45895316
0.00173,-1.18258372
0.00174,0.51338638
0.00175,0.10177036
0.00176,-1.56137508
0.00177,-1.01713010
0.00178,0.60261406
0.00179,-0.07079881
0.00180,-1.63684107
0.00181,-0.83854283
0.00182,0.66383846
0.00183,-0.25426847
0.00184,-1.68343453
0.00185,-0.65135754
0.00186,0.69550467
0.00187,-0.44397901
0.00188,-1.69997211
0.00189,-0.46032819
0.00190,0.69680845
0.00191,-0.63511232
0.00192,-1.68603380
0.00193,-0.27030639
