t,U
0.00001,1.66230816
0.00002,-0.69137661
0.00003,-0.61044487
0.00004,-0.43888698
0.00005,1.05787034
0.00006,-0.75094629
0.00007,0.35578568
0.00008,1.38091919
0.00009,0.37323954
0.00010,1.08448824
0.00011,-0.44158819
0.00012,0.38977401
0.00013,0.29608905
0.00014,-1.58940251
0.00015,-0.96358500
0.00016,0.35163792
0.00017,0.00513649
0.00018,-0.66101689
0.00019,1.04490678
0.00020,-0.26130638
0.00021,0.47940012
0.00022,-0.15537143
0.00023,0.01918531
0.00024,-1.50224837
0.00025,0.09226378
0.00026,-0.56983843
0.00027,-0.22135864
0.00028,0.32977610
0.00029,-0.47515768
0.00030,-0.18684428
0.00031,0.32181098
0.00032,0.69729363
0.00033,-1.15381905
0.00034,0.21904127
0.00035,0.65698519
0.00036,0.63622577
0.00037,0.82456976
0.00038,-0.28118766
0.00039,-0.28352118
0.00040,-0.47588202
0.00041,0.60601012
0.00042,0.90354412
0.00043,1.40792247
0.00044,1.28172782
0.00045,-0.68815680
0.00046,0.50178345
0.00047,-1.06476491
0.00048,1.40788731
0.00049,0.20061164
0.00050,-0.74658949
0.00051,0.15130720
0.00052,0.38034756
0.00053,0.82112010
0.00054,-1.57068729
0.00055,1.32898930
0.00056,-0.09217397
0.00057,-0.30745886
0.00058,-0.39785072
0.00059,-2.25691007
0.00060,0.88534589
0.00061,0.99781164
0.00062,-2.80534428
0.00063,-0.41948000
0.00064,-0.46350012
0.00065,-0.10215913
0.00066,0.68089642
0.00067,0.18241833
0.00068,-1.15960878
0.00069,-0.19920516
0.00070,1.88946697
0.00071,0.31233013
0.00072,-0.16536618
0.00073,0.06676285
0.00074,-0.05753651
0.00075,-0.45485552
0.00076,-0.43475083
0.00077,0.90882103
0.00078,1.10935154
0.00079,0.98637990
0.00080,-0.98862481
0.00081,2.15823019
0.00082,0.53885252
0.00083,-0.51590142
0.00084,0.42356374
0.00085,0.66976595
0.00086,-0.98980482
0.00087,-1.95957237
0.00088,-1.80381114
0.00089,2.11883394
0.00090,0.63983018
0.00091,0.41309132
0.00092,-0.91513681
0.00093,-0.54682433
0.00094,-0.41625261
0.00095,0.17839858
0.00096,1.29805336
0.00097,0.55734749
0.00098,0.02882373
0.00099,-1.02467534
0.00100,0.53239496
0.00101,-0.48699545
0.00102,-2.23446182
0.00103,0.73588099
0.00104,0.26217123
0.00105,1.07878747
0.00106,0.20239744
0.00107,-0.72100818
0.00108,-0.32323522
0.00109,1.99581793
0.00110,1.89469488
0.00111,0.27996094
0.00112,-0.06305316
0.00113,0.89227201
0.00114,0.39628048
0.00115,-0.96072788
0.00116,1.77736265
0.00117,-1.00148510
0.00118,-0.15041897
0.00119,-0.96065356
0.00120,0.40041409
0.00121,-0.25746318
0.00122,1.80105507
0.00123,0.09503129
0.00124,0.50884159
0.00125,0.14294857
0.00126,-1.09104847
0.00127,-0.51125627
0.00128,-0.45139253
0.00129,0.78103712
0.00130,0.57347913
0.00131,-0.24400564
0.00132,1.14429541
0.00133,-0.06953859
0.00134,-1.12950585
0.00135,-1.09212200
0.00136,-0.29876459
0.00137,0.47460137
0.00138,-0.37695454
0.00139,-0.02731975
0.00140,0.04187149
0.00141,-0.30010913
0.00142,-0.70537049
0.00143,-1.29277894
0.00144,-1.04811112
0.00145,1.18196407
0.00146,-1.46889430
0.00147,0.24586708
0.00148,0.39406692
0.00149,0.29335658
0.00150,-1.35034121
0.00151,-0.31816587
0.00152,-0.63470106
0.00153,1.25972951
0.00154,0.26698728
0.00155,1.21009462
0.00156,0.97025876
0.00157,0.01014280
0.00158,-0.12216551
0.00159,1.86965459
0.00160,0.34309508
0.00161,0.45880590
0.00162,-0.16746793
0.00163,0.23138947
0.00164,2.12106357
0.00165,-1.19730644
0.00166,-0.46937351
0.00167,-1.83560763
0.00168,0.69464355
0.00169,0.90313893
0.00170,1.74342307
0.00171,-0.55440180
0.00172,0.29395439
0.00173,0.87254424
0.00174,-1.70705767
0.00175,-0.68043220
0.00176,-1.36576022
0.00177,0.18152080
0.00178,-1.57806213
0.00179,1.17394249
0.00180,-0.28835283
0.00181,-0.00907329
0.00182,-0.92738524
0.00183,-0.96770353
0.00184,-0.51666000
0.00185,-0.69748240
0.00186,0.75697506
0.00187,-0.83850784
0.00188,-0.93469913
0.00189,-1.15806740
0.00190,-0.49443925
0.00191,0.21548215
0.00192,-0.47691486
0.00193,2.20974327
0.00194,-0.89239144
0.00195,-0.68670671
0.00196,-0.13258286
0.00197,-1.50484548
0.00198,1.21917014
0.00199,-0.04596022
0.00200,-0.23129808
0.00201,0.22503658
0.00202,0.40077536
0.00203,-1.40075844
0.00204,1.08894349
0.00205,-0.07289894
0.00206,-0.62184291
0.00207,-0.72216602
0.00208,1.10227612
0.00209,1.39996514
0.00210,0.68814992
0.00211,1.10541708
0.00212,0.58790476
0.00213,-0.73235162
0.00214,0.57193348
0.00215,0.45589124
0.00216,-1.22229414
0.00217,-1.11363981
0.00218,-0.52437855
0.00219,0.65234836
0.00220,0.09177582
0.00221,0.21401675
0.00222,-2.62748325
0.00223,-1.01326528
0.00224,0.50624824
0.00225,1.28655452
0.00226,-0.87895774
0.00227,0.21404528
0.00228,-0.47192965
0.00229,-1.21819131
0.00230,-0.67843294
0.00231,-0.47184765
0.00232,-0.30849300
0.00233,-0.14933773
0.00234,0.86799253
0.00235,-0.75360299
0.00236,-1.10296576
0.00237,0.00230586
0.00238,-0.30844203
0.00239,-0.35421447
0.00240,0.54006409
0.00241,-0.73401767
0.00242,0.42590263
0.00243,0.87082919
0.00244,0.39212589
0.00245,-0.46003394
0.00246,-1.37342284
0.00247,-0.41439518
0.00248,-0.12799137
0.00249,0.05240999
0.00250,1.21156378
0.00251,0.70042013
0.00252,-0.88802755
0.00253,-0.63602062
0.00254,0.69400659
0.00255,0.22277474
0.00256,0.62381974
0.00257,-1.17674687
0.00258,-0.28531072
0.00259,1.25981723
0.00260,-0.73054405
0.00261,-0.39314153
0.00262,0.27424130
0.00263,1.51169828
0.00264,-0.74050217
0.00265,0.85376304
0.00266,-0.34161897
0.00267,-0.22771288
0.00268,0.16833560
0.00269,1.66747172
0.00270,2.03446247
0.00271,1.48804822
0.00272,-0.09699568
0.00273,-1.02711829
0.00274,0.33310675
0.00275,-0.15151517
0.00276,-0.22946091
0.00277,0.83096615
0.00278,-2.28363090
0.00279,-0.31843850
0.00280,-1.93034526
0.00281,-1.28767867
0.00282,1.39770147
0.00283,0.44280918
0.00284,0.29243563
0.00285,0.49828868
0.00286,-1.53387310
0.00287,-0.60206047
0.00288,-0.91196833
0.00289,-2.01433196
0.00290,1.00217744
0.00291,0.49615350
0.00292,0.92090068
0.00293,0.73734218
0.00294,-1.04599754
0.00295,-1.52250671
0.00296,-1.21513272
0.00297,-1.21290464
0.00298,-0.91176819
0.00299,-0.09414621
0.00300,0.31050942
0.00301,-0.16019400
0.00302,0.39284365
0.00303,-0.94170896
0.00304,-0.65841734
0.00305,-0.81465601
0.00306,-1.12234802
0.00307,-1.12930927
0.00308,-0.82551441
0.00309,0.43938874
0.00310,-1.23196221
0.00311,-0.56083296
0.00312,-0.70318335
0.00313,-0.73279818
0.00314,0.14511798
0.00315,-0.49624266
0.00316,0.33755097
0.00317,1.82910688
0.00318,-1.05818566
