t,U
0.00001,-0.31212849
0.00002,0.16708280
0.00003,0.77754959
0.00004,-0.79500074
0.00005,-0.51596133
0.00006,0.30551255
0.00007,1.14177831
0.00008,-0.08029540
0.00009,-0.73229293
0.00010,1.33692048
0.00011,0.63454899
0.00012,-0.69639710
0.00013,-0.63378912
0.00014,0.18243319
0.00015,0.23804420
0.00016,-0.83246661
0.00017,-0.61823402
0.00018,0.73357797
0.00019,1.03876807
0.00020,-1.21909992
0.00021,-0.21949173
0.00022,1.05505299
0.00023,0.36896639
0.00024,-1.87949131
0.00025,-0.22293108
0.00026,0.90604479
0.00027,0.06703562
0.00028,-1.03497078
0.00029,-0.30614603
0.00030,1.10998242
0.00031,0.13700773
0.00032,-0.86332952
0.00033,-0.44079033
0.00034,1.29444452
0.00035,0.10755684
0.00036,-0.86704374
0.00037,0.69748370
0.00038,1.01363051
0.00039,-0.52913449
0.00040,-1.34563748
0.00041,0.77322849
0.00042,1.51268587
0.00043,0.10789712
0.00044,-0.41795222
0.00045,0.32027093
0.00046,1.22258378
0.00047,-1.24006244
0.00048,-0.24736661
0.00049,0.89893354
0.00050,0.50104874
0.00051,-0.79833970
0.00052,-0.60728073
0.00053,1.32840820
0.00054,-0.03859669
0.00055,-0.35292739
0.00056,-0.68063759
0.00057,0.89432986
0.00058,0.36242122
0.00059,-2.16959338
0.00060,-0.04158785
0.00061,1.60241196
0.00062,-0.96972279
0.00063,-1.35464752
0.00064,-0.50769612
0.00065,1.12708228
0.00066,0.51845031
0.00067,-1.10365567
0.00068,-0.65314644
0.00069,1.10344188
0.00070,0.90813028
0.00071,-1.04903355
0.00072,0.01548038
0.00073,1.22365239
0.00074,-0.21737026
0.00075,-1.39470268
0.00076,0.07496448
0.00077,1.59021342
0.00078,0.15709587
0.00079,-0.65011411
0.00080,-0.00935343
0.00081,2.12306314
0.00082,-0.29311014
0.00083,-1.29032375
0.00084,0.83852406
0.00085,1.31371433
0.00086,-1.18936198
0.00087,-1.87591006
0.00088,-0.07727635
0.00089,1.88963659
0.00090,-0.55101068
0.00091,-0.60532144
0.00092,0.48307295
0.00093,0.46770764
0.00094,-1.18041750
0.00095,-0.56625110
0.00096,1.65596672
0.00097,0.83733086
0.00098,-1.06413235
0.00099,-0.97559366
0.00100,1.37233038
0.00101,0.16087006
0.00102,-2.22089708
0.00103,0.05034488
0.00104,1.29821969
0.00105,0.72764784
0.00106,-1.09171285
0.00107,-0.46088700
0.00108,1.04300087
0.00109,0.97760199
0.00110,-0.28983600
0.00111,0.21094508
0.00112,1.16336531
0.00113,0.25688118
0.00114,-0.98952250
0.00115,-0.19550406
0.00116,2.01217132
0.00117,-0.83890348
0.00118,-1.20227429
0.00119,-0.01294488
0.00120,1.28672141
0.00121,-0.65905435
0.00122,-0.18681742
0.00123,0.66508533
0.00124,1.24668568
0.00125,-0.63059038
0.00126,-1.47031137
0.00127,0.52938334
0.00128,0.66807321
0.00129,-0.47024469
0.00130,-0.54188428
0.00131,0.79343633
0.00132,1.29422580
0.00133,-1.00321702
0.00134,-1.20962234
0.00135,0.49881744
0.00136,0.44239958
0.00137,-0.84187896
0.00138,-0.68137703
0.00139,1.09670853
0.00140,0.43214416
0.00141,-1.28662062
0.00142,-0.65945163
0.00143,0.54753210
0.00144,-0.27549039
0.00145,-0.61874101
0.00146,-0.83829624
0.00147,1.31508783
0.00148,0.22691814
0.00149,-1.05902214
0.00150,-0.59022876
0.00151,1.04263572
0.00152,-0.45806220
0.00153,-0.57815255
0.00154,0.37600624
0.00155,1.74444763
0.00156,0.12544652
0.00157,-1.13123637
0.00158,0.37253062
0.00159,1.99960449
0.00160,-0.35415870
0.00161,-0.84004384
0.00162,0.52320695
0.00163,1.12346999
0.00164,0.33424907
0.00165,-1.53253483
0.00166,0.53534620
0.00167,0.01576908
0.00168,-0.49856295
0.00169,-0.39697828
0.00170,1.73561027
0.00171,0.49293644
0.00172,-0.81773184
0.00173,-0.26355049
0.00174,0.19381487
0.00175,0.27513661
0.00176,-1.71707144
0.00177,-0.42989415
0.00178,0.34498021
0.00179,0.99295183
0.00180,-1.27521656
0.00181,-0.34282129
0.00182,0.71862936
0.00183,-0.21883654
0.00184,-1.43143250
0.00185,-0.48617800
0.00186,1.55904696
0.00187,-0.34651332
0.00188,-1.64869300
0.00189,-0.51630013
0.00190,0.95947985
0.00191,-0.03156971
0.00192,-1.41494800
0.00193,1.29078756
0.00194,0.73930998
0.00195,-0.65246065
0.00196,-1.20555560
0.00197,-0.30859680
0.00198,1.69443508
0.00199,-0.52430730
0.00200,-1.17989096
0.00201,0.69568884
0.00202,1.21456691
0.00203,-1.34156418
0.00204,-0.44576203
0.00205,0.71138856
0.00206,0.61068283
0.00207,-1.16548922
0.00208,-0.31454769
0.00209,1.55838955
0.00210,1.10371928
0.00211,-0.41692681
0.00212,-0.41527989
0.00213,0.65184580
0.00214,0.89231875
0.00215,-0.83368600
0.00216,-1.12049002
0.00217,0.56058070
0.00218,0.19463604
