t,U
0.00001,-0.16964353
0.00002,0.10782136
0.00003,0.72522522
0.00004,-0.83262000
0.00005,-0.42528584
0.00006,0.24114508
0.00007,1.17227453
0.00008,0.03807027
0.00009,-0.70030065
0.00010,1.42987754
0.00011,0.59669820
0.00012,-0.66298757
0.00013,-0.60840981
0.00014,0.04619734
0.00015,0.15545038
0.00016,-0.80232592
0.00017,-0.61779375
0.00018,0.67691882
0.00019,1.12833239
0.00020,-1.24149783
0.00021,-0.17839988
0.00022,1.04173530
0.00023,0.37061086
0.00024,-2.00825673
0.00025,-0.21502267
0.00026,0.85720101
0.00027,0.04806183
0.00028,-1.00670398
0.00029,-0.34687424
0.00030,1.09396704
0.00031,0.16459180
0.00032,-0.80356090
0.00033,-0.53969008
0.00034,1.31321967
0.00035,0.16387042
0.00036,-0.81250957
0.00037,0.76816181
0.00038,0.98952847
0.00039,-0.55343654
0.00040,-1.38642777
0.00041,0.82517273
0.00042,1.59013328
0.00043,0.22857739
0.00044,-0.30808875
0.00045,0.26128547
0.00046,1.26559422
0.00047,-1.33132891
0.00048,-0.12668936
0.00049,0.91612900
0.00050,0.43705472
0.00051,-0.78537039
0.00052,-0.57467919
0.00053,1.39879061
0.00054,-0.17322836
0.00055,-0.23901290
0.00056,-0.68853829
0.00057,0.86797599
0.00058,0.32831939
0.00059,-2.36304472
0.00060,0.03429969
0.00061,1.68793951
0.00062,-1.21018325
0.00063,-1.39060331
0.00064,-0.54742509
0.00065,1.11832570
0.00066,0.57681344
0.00067,-1.08801966
0.00068,-0.75254246
0.00069,1.08636698
0.00070,1.07008620
0.00071,-1.02226213
0.00072,0.00130600
0.00073,1.22937498
0.00074,-0.22230201
0.00075,-1.43369068
0.00076,0.03769976
0.00077,1.66811313
0.00078,0.25218409
0.00079,-0.56556643
0.00080,-0.09409354
0.00081,2.30805613
0.00082,-0.24692233
0.00083,-1.33454431
0.00084,0.87482988
0.00085,1.37112341
0.00086,-1.27420323
0.00087,-2.04387506
0.00088,-0.23189026
0.00089,2.07125273
0.00090,-0.49616755
0.00091,-0.56991326
0.00092,0.40463188
0.00093,0.42083652
0.00094,-1.21609665
0.00095,-0.55095964
0.00096,1.76722954
0.00097,0.88510397
0.00098,-1.06166172
0.00099,-1.06342384
0.00100,1.41796468
0.00101,0.11912718
0.00102,-2.41242427
0.00103,0.11342102
0.00104,1.32069173
0.00105,0.82011625
0.00106,-1.07436433
0.00107,-0.52268831
0.00108,1.01529472
0.00109,1.14867379
0.00110,-0.12743197
0.00111,0.23494197
0.00112,1.15796070
0.00113,0.33336239
0.00114,-0.95555527
0.00115,-0.27785297
0.00116,2.16451819
0.00117,-0.92474590
0.00118,-1.21516748
0.00119,-0.09528743
0.00120,1.32104295
0.00121,-0.68112284
0.00122,-0.03243975
0.00123,0.67323095
0.00124,1.29030111
0.00125,-0.61833752
0.00126,-1.56383073
0.00127,0.48556095
0.00128,0.62938203
0.00129,-0.40329798
0.00130,-0.49272844
0.00131,0.77252136
0.00132,1.39230924
0.00133,-1.00917753
0.00134,-1.30643808
0.00135,0.40520606
0.00136,0.41679093
0.00137,-0.80119844
0.00138,-0.71368774
0.00139,1.09436681
0.00140,0.43573318
0.00141,-1.31234451
0.00142,-0.71991255
0.00143,0.43672139
0.00144,-0.36532937
0.00145,-0.51742880
0.00146,-0.96420271
0.00147,1.33616236
0.00148,0.26069564
0.00149,-1.03387704
0.00150,-0.70597343
0.00151,1.01536409
0.00152,-0.51246568
0.00153,-0.47017466
0.00154,0.39889109
0.00155,1.84817105
0.00156,0.20861237
